Reference, Value, Footprint, Datasheet, Farnell
P2,TC2030-CTX,Tag-Connect:TC2030-NL_SMALL,
U4,RFM69HW,tinkerforge:RFM69HW,
ANT1,ANT,tinkerforge:CON-SMA-EDGE,
P1,USB_OTG,Connect:USB_Micro-B_10103594-0001LF,
P3,C_PANEL,tinkerforge:JST-PH-2,
P4,C_BATT,tinkerforge:JST-PH-2,
D2,6V,Diodes_SMD:SOD-123,
R8,10k,Resistors_SMD:R_0805,
R9,10k,Resistors_SMD:R_0805,
C4,22u,Capacitors_SMD:C_0805,
R3,3k6,Resistors_SMD:R_0805,
R5,10k,Resistors_SMD:R_0805,
C5,C,Capacitors_SMD:C_0805,
R4,0,Resistors_SMD:R_0805,
U3,MCP1700,agg:SOT-23,
C7,1u,Capacitors_SMD:C_0805,
R6,4k7,Resistors_SMD:R_0805,
R7,10k,Resistors_SMD:R_0805,
R10,4k7,Resistors_SMD:R_0805,
C8,100n,Capacitors_SMD:C_0805,
C2,100n,Capacitors_SMD:C_0805,
C3,100n,Capacitors_SMD:C_0805,
C1,4.7u,Capacitors_SMD:C_0805,
R1,10k,Resistors_SMD:R_0805,
R2,10k,Resistors_SMD:R_0805,
JP1,Boot,Resistors_SMD:R_0805,
D1,Status,agg:0805-LED,
U5,DS18B20,TO_SOT_Packages_THT:TO-92_Molded_Narrow,
U6,DS18B20,TO_SOT_Packages_THT:TO-92_Molded_Narrow,
U2,CN3083,agg:SOIC-8-EP-CN,
C6,4.7u,Capacitors_SMD:C_0805,
IC1,STM32F0xxFxPx,tinkerforge:TSSOP20,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00105814.pdf,2469549
